State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andhra-pradesh,district,chittoor,TOTAL,8201783,13837455758.755266,2019,3
andhra-pradesh,district,east godavari,TOTAL,6537303,11387726470.57774,2019,3
andhra-pradesh,district,guntur,TOTAL,6942304,13075661264.188034,2019,3
andhra-pradesh,district,krishna,TOTAL,8408474,16404073560.500784,2019,3
andhra-pradesh,district,kurnool,TOTAL,5139134,9025632779.412457,2019,3
andhra-pradesh,district,prakasam,TOTAL,3430750,7354502261.150911,2019,3
andhra-pradesh,district,spsr nellore,TOTAL,4150195,8256600118.735449,2019,3
andhra-pradesh,district,visakhapatnam,TOTAL,16694947,26944837120.046288,2019,3
andhra-pradesh,district,ysr,TOTAL,3296586,7447544274.211781,2019,3
andhra-pradesh,district,anantapur,TOTAL,6764112,13887248889.064064,2019,4
andhra-pradesh,district,chittoor,TOTAL,11246986,19298476027.875484,2019,4
andhra-pradesh,district,east godavari,TOTAL,9285739,16816774065.301315,2019,4
andhra-pradesh,district,guntur,TOTAL,9761330,18565626418.035915,2019,4
andhra-pradesh,district,krishna,TOTAL,11719402,23039786404.046635,2019,4
andhra-pradesh,district,kurnool,TOTAL,7001958,13233105728.54823,2019,4
andhra-pradesh,district,prakasam,TOTAL,4865473,10604077824.801037,2019,4
andhra-pradesh,district,spsr nellore,TOTAL,5877804,11786014089.194023,2019,4
andhra-pradesh,district,visakhapatnam,TOTAL,23594874,39133296330.04462,2019,4
andhra-pradesh,district,ysr,TOTAL,4793157,10865073855.730782,2019,4
andhra-pradesh,district,anantapur,TOTAL,8466129,17864325752.82528,2020,1
andhra-pradesh,district,chittoor,TOTAL,13257740,23441848567.344196,2020,1
andhra-pradesh,district,east godavari,TOTAL,11346242,21854701379.428688,2020,1
andhra-pradesh,district,guntur,TOTAL,11493331,22992734620.64621,2020,1
andhra-pradesh,district,krishna,TOTAL,12175289,24481702770.714718,2020,1
andhra-pradesh,district,kurnool,TOTAL,8246869,17022710311.813044,2020,1
andhra-pradesh,district,prakasam,TOTAL,6318396,14169104764.526735,2020,1
andhra-pradesh,district,spsr nellore,TOTAL,7430247,15387829694.44686,2020,1
andhra-pradesh,district,visakhapatnam,TOTAL,27115031,48809747614.678894,2020,1
andhra-pradesh,district,ysr,TOTAL,6031255,14059924636.819914,2020,1
andhra-pradesh,district,anantapur,TOTAL,10473739,22094006659.412502,2020,2
andhra-pradesh,district,chittoor,TOTAL,14848197,27361300300.01902,2020,2
andhra-pradesh,district,east godavari,TOTAL,13130334,26319906327.32029,2020,2
andhra-pradesh,district,guntur,TOTAL,12308707,27463593607.83911,2020,2
andhra-pradesh,district,krishna,TOTAL,12313709,26964149095.36629,2020,2
andhra-pradesh,district,kurnool,TOTAL,9821381,22419372061.80517,2020,2
andhra-pradesh,district,prakasam,TOTAL,8844580,19846026726.90433,2020,2
andhra-pradesh,district,spsr nellore,TOTAL,9454274,20665376460.772232,2020,2
andhra-pradesh,district,visakhapatnam,TOTAL,25300401,48293889917.41437,2020,2
andhra-pradesh,district,ysr,TOTAL,8033609,19597207268.132023,2020,2
